Nhom,Event,TenFileWav,CauDoc,UuTien,CooldownGiay,TrangThai
Nhiem vu,mission_aborted,nhiem_vu_da_huy.wav,"Cảnh báo, nhiệm vụ đã bị hủy.",WARNING,7,Đề xuất WAV
Nhiem vu,waypoint_reached,da_den_waypoint.wav,Đã đến Waypoint.,INFO,5,Đề xuất WAV
Nhiem vu,mission_upload_success,tai_len_nhiem_vu_thanh_cong.wav,Đã tải nhiệm vụ lên máy bay.,INFO,7,Đề xuất WAV
Nhiem vu,mission_upload_failed,tai_len_nhiem_vu_that_bai.wav,"Cảnh báo, tải nhiệm vụ lên máy bay thất bại.",WARNING,7,Đề xuất WAV
GPS RTK,gps_ready,gps_da_san_sang.wav,GPS đã sẵn sàng.,INFO,7,Đã tích hợp TTS
GPS RTK,gps_degraded,canh_bao_gps_yeu.wav,"Cảnh báo, tín hiệu GPS yếu.",WARNING,7,Đã tích hợp TTS
GPS RTK,gps_acquiring,dang_tim_tin_hieu_gps.wav,Đang tìm tín hiệu GPS.,INFO,15,Đề xuất WAV
GPS RTK,gps_lost,mat_tin_hieu_gps.wav,"Cảnh báo, mất tín hiệu GPS.",WARNING,10,Đề xuất WAV
GPS RTK,rtk_float,rtk_float.wav,RTK đang ở chế độ Float.,INFO,15,Đề xuất WAV
GPS RTK,rtk_fixed,rtk_fixed.wav,RTK Fixed đã sẵn sàng.,INFO,15,Đề xuất WAV
GPS RTK,gps_jamming,canh_bao_gps_bi_nhieu.wav,"Cảnh báo, tín hiệu GPS bị nhiễu.",WARNING,15,Đề xuất WAV
GPS RTK,gps_spoofing,canh_bao_gps_gia_mao.wav,"Cảnh báo, phát hiện tín hiệu GPS giả mạo.",CRITICAL,15,Đề xuất WAV
Pin,battery_low,canh_bao_pin_yeu.wav,"Cảnh báo, pin yếu.",WARNING,7,Đã tích hợp TTS
Pin,battery_critical,canh_bao_pin_sap_het.wav,"Cảnh báo nguy hiểm, pin sắp hết.",CRITICAL,2.5,Đã tích hợp TTS
Pin,battery_30,pin_con_ba_muoi_phan_tram.wav,Pin còn ba mươi phần trăm.,INFO,60,Đề xuất WAV
Pin,battery_20,pin_con_hai_muoi_phan_tram.wav,"Cảnh báo, pin còn hai mươi phần trăm.",WARNING,60,Đề xuất WAV
Pin,battery_10,pin_con_muoi_phan_tram.wav,"Cảnh báo nguy hiểm, pin còn mười phần trăm.",CRITICAL,60,Đề xuất WAV
Pin,battery_missing,khong_nhan_duoc_pin.wav,"Cảnh báo, không nhận được dữ liệu pin.",WARNING,30,Đề xuất WAV
Pin,battery_error,loi_pin.wav,"Cảnh báo, phát hiện lỗi pin.",CRITICAL,30,Đề xuất WAV
PreArm,prearm_waiting_rc,prearm_cho_tin_hieu_dieu_khien.wav,"Chưa thể ARM, đang chờ tín hiệu điều khiển.",CRITICAL,2.5,Đã tích hợp TTS
PreArm,prearm_low_voltage,prearm_dien_ap_pin_thap.wav,"Không thể ARM, điện áp pin quá thấp.",CRITICAL,2.5,Đã tích hợp TTS
PreArm,prearm_compass,prearm_la_ban_chua_san_sang.wav,"Chưa thể ARM, la bàn chưa sẵn sàng.",CRITICAL,2.5,Đã tích hợp TTS
PreArm,prearm_gyro,prearm_gyro_khong_on_dinh.wav,"Chưa thể ARM, dữ liệu con quay hồi chuyển không ổn định.",CRITICAL,2.5,Đã tích hợp TTS
PreArm,prearm_gps,prearm_gps_chua_san_sang.wav,"Chưa thể ARM, GPS chưa sẵn sàng.",CRITICAL,2.5,Đề xuất WAV
PreArm,prearm_ekf,prearm_ekf_khong_on_dinh.wav,"Chưa thể ARM, bộ lọc EKF chưa ổn định.",CRITICAL,2.5,Đề xuất WAV
PreArm,prearm_accelerometer,prearm_gia_toc_ke.wav,"Chưa thể ARM, gia tốc kế chưa được hiệu chuẩn.",CRITICAL,2.5,Đề xuất WAV
PreArm,prearm_generic,prearm_kiem_tra_khong_dat.wav,"Chưa thể ARM, kiểm tra trước chuyến bay không đạt.",CRITICAL,2.5,Đã tích hợp TTS
An toan,failsafe_triggered,failsafe_da_kich_hoat.wav,"Cảnh báo nguy hiểm, Failsafe đã kích hoạt.",CRITICAL,5,Đề xuất WAV
An toan,geofence_breach,vi_pham_hang_rao_dia_ly.wav,"Cảnh báo, máy bay đã vi phạm hàng rào địa lý.",CRITICAL,10,Đề xuất WAV
An toan,obstacle_detected,phat_hien_vat_can.wav,"Cảnh báo, phát hiện vật cản.",WARNING,10,Đề xuất WAV
An toan,ekf_error,loi_ekf.wav,"Cảnh báo, lỗi EKF.",CRITICAL,10,Đề xuất WAV
An toan,compass_calibration_required,can_hieu_chuan_la_ban.wav,"Cảnh báo, cần hiệu chuẩn la bàn.",WARNING,30,Đề xuất WAV
He thong,home_set,da_dat_diem_home.wav,Đã đặt điểm Home.,INFO,10,Đề xuất WAV
He thong,recording_started,da_bat_dau_ghi_hinh.wav,Đã bắt đầu ghi hình.,INFO,10,Đề xuất WAV
He thong,recording_stopped,da_dung_ghi_hinh.wav,Đã dừng ghi hình.,INFO,10,Đề xuất WAV
He thong,camera_photo,da_chup_anh.wav,Đã chụp ảnh.,INFO,5,Đề xuất WAV
He thong,voice_ready,hti_voice_ready.wav,Hệ thống thông báo giọng nói HTI đã sẵn sàng.,INFO,,Đã tích hợp TTS
